Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Trait_Sex
FBgn0000014,532.3333333333334,2.3071517155849524,165.66666666666666,24.974025974025977,Female
FBgn0000015,0.8890200708382526,0.38480180024234034,0.4724829744156083,1.7758501040943788,Female
FBgn0000017,0.10086693270950874,1.915451895043732,0.3293452974410103,0.11638291934133407,Female
FBgn0000018,1.0822488287350338,0.5509887553315238,0.7053933063312726,1.6195153896529142,Female
FBgn0000022,0.0026319087604963,0.2728719172633254,0.00666918333962501,0.09259765091505054,Female
FBgn0000024,1.672010688042752,0.10329609709005656,0.33111480865224624,7.056394763343404,Female
FBgn0000028,4.759539236861051,1.1242697822623473,3.291845493562232,2.714020427112349,Female
FBgn0000032,26.210884353741495,1.7220142905750255,13.8975791433892,5.672226855713094,Female
FBgn0000036,1.4308720753570343,0.8527095877721167,1.1774632553075668,1.4883359253499222,Female
FBgn0000037,0.94884287454324,1.5101976780671478,1.2811519817507842,0.7035775127768313,Female
FBgn0000038,1.4002400240024002,0.0269576379974326,0.12819066422225356,14.09433962264151,Female
FBgn0000039,2.234937323089365,0.7861129716454566,1.5023459493274944,2.12256049960968,Female
FBgn0000042,1.115842369743454,0.49812734082397,0.6663195167673401,1.7981811822315494,Female
FBgn0000043,0.6022431403965551,0.15623645035409742,0.18308192842354337,2.5164835164835164,Female
FBgn0000044,2.8498556304138596,0.2236157846436219,0.7671747294013695,6.142857142857143,Female
FBgn0000045,1.7472527472527473,0.14351057747284163,0.40869871456242296,5.926406926406926,Female
FBgn0000046,1.1282255919127429,0.3269198872118096,0.4883720930232558,2.359932801343973,Female
FBgn0000047,6.373271889400922,0.5748031496062992,2.3941450997030125,5.6115702479338845,Female
FBgn0000052,0.01419878296146044,0.3186088676446349,0.01871896090665987,0.1580775911986103,Female
FBgn0000053,0.18046333185775415,0.460653642505021,0.1678832116788321,0.4961660744342622,Female
FBgn0000056,0.02197240674501788,2.022289384208538,0.142367556761388,0.0456149522938178,Female
FBgn0000057,0.9152501795547044,10.0803324099723,4.423728813559322,0.199580146948568,Female
FBgn0000061,1.351557907113463,0.8617640214102863,1.1270938580164849,1.3952095808383234,Female
FBgn0000063,1.2271714922048995,14.93625498007968,7.121827411167513,0.18290699393760165,Female
FBgn0000064,2.4100596760443307,0.0841577449518905,0.3705670721260922,11.251148545176113,Female
FBgn0000071,0.5444015444015444,0.43549255338237935,0.35570242331808166,1.1511158913686474,Female
FBgn0000075,0.28741551335693594,4.184705119896306,1.1270938580164849,0.14613180515759314,Female
FBgn0000077,0.01613108090943731,1.5485823510672188,0.1019283746556474,0.04945559491014036,Female
FBgn0000078,0.23915737298636927,0.9253910950661852,0.3506668917778153,0.3778849466069583,Female
FBgn0000079,0.3289036544850498,0.3020833333333333,0.19331742243436753,1.0476068594829793,Female
FBgn0000083,0.07009095773140717,0.1695906432748538,0.03385887826311708,0.5838447832112453,Female
